Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-05-17,259.61456298828125,261.0837654162938,255.37228885809023,258.9237150792665,28828800,10.091244041227975
2022-05-18,247.79444885253906,257.0789426921481,246.51685864201255,256.49377982747023,31356000,10.580675534733812
2022-05-19,246.877685546875,251.29563365430175,245.64886146376114,247.61887889967733,32692300,11.197869730167557
2022-05-20,246.31201171875,252.1440854849092,240.3434168359691,250.87622783351006,39199300,11.871027507509957
2022-05-23,254.201904296875,255.03088252529363,247.16051506876937,249.16956626123803,33175400,11.793522451880438
2022-05-24,253.19735717773438,254.86504582023227,247.22876223606562,251.5101740219883,29043900,11.964751899645734
2022-05-25,256.025634765625,258.03467104715224,250.7689908290444,251.7540144546174,28547900,11.571674884994499
2022-05-26,259.32196044921875,260.5020182283092,254.96254147076476,255.78175734933586,25002100,10.463760523324439
2022-05-27,266.48040771484375,266.57793980454977,260.9409302658759,261.8381838235103,26910800,10.308314536140355
2022-05-31,265.144287109375,267.97253895075033,262.2770164821384,265.7879631443274,37827700,9.584659607321807
2022-06-01,265.6807556152344,270.82037309641385,263.3596284422438,268.391981442587,25292200,9.047055135413045
2022-06-02,267.78729248046875,267.85556792923825,255.1284171211711,257.907918378858,44008200,7.511193596911477
2022-06-03,263.3400573730469,266.6852264023087,261.76990089537674,263.6228914963181,28059000,7.089246379598208
2022-06-06,262.10150146484375,267.3971637281567,260.60935271212526,265.3296143204805,22400300,6.798016802130616
2022-06-07,265.7586669921875,266.37308628706757,259.3609561421182,260.04365086145356,22860700,7.062759828700481
2022-06-08,263.7204284667969,266.24635182283305,262.94020151963724,264.9882563323359,17372300,7.121874348480421
2022-06-09,258.2394714355469,265.96352496663144,258.08342604184816,261.155493463589,26439700,7.054041290177014
2022-06-10,246.73135375976562,254.13356833740173,246.28272702832703,254.13356833740173,31422800,7.185131321888193
2022-06-13,236.2667999267578,242.85957591541896,235.55486333624907,239.04630061658534,46135800,8.633760572276051
2022-06-14,238.44163513183594,239.66071172890824,235.53534580987517,237.82721576489354,28651500,9.56915645320989
2022-06-15,245.53179931640625,248.98423293014517,240.3239071262525,242.16715053653422,33111700,9.81590266016432
2022-06-16,238.9097900390625,241.29917752971096,237.0080332559467,239.89479871100755,33169200,10.366117902700529
2022-06-17,241.52349853515625,244.30299969377677,237.99305675469424,238.64648015773886,43084800,10.652205723827409
2022-06-21,247.46286010742188,248.44786887207698,243.33749321886958,244.06893934901308,29928300,10.607319720262597
2022-06-22,246.867919921875,250.8079842631734,244.1761889667899,245.65859044340866,25939900,10.754590226401815
2022-06-23,252.45619201660156,252.9535849340357,247.35559312848585,249.24760292750972,25861400,10.760324590980218
2022-06-24,261.0774841308594,261.3505561275913,255.24541034605122,255.33318029900627,33923200,10.859587294966298
2022-06-27,258.3370056152344,261.6626207863299,256.76681929024653,261.57485083215533,24615100,10.839462571521608
2022-06-28,250.13507080078125,260.3070407191202,249.97902539515218,257.4495317749188,27295500,10.507110125601749
2022-06-29,253.82151794433594,255.4892064501138,249.43282717010936,251.21755715232027,20069800,10.161679370779982
2022-06-30,250.4763946533203,253.10961257371625,246.64362415178596,250.6909533710016,31730900,9.739543698842743
2022-07-01,253.1583251953125,253.34362723066812,248.31129003294606,250.04726890657363,22837700,9.05208603374675
2022-07-05,256.3474426269531,256.4742313599345,248.43807276622766,249.822942047915,22941000,8.7080667402884
2022-07-06,259.624267578125,261.36023126919065,255.9085249036384,257.225133434879,23824400,8.56378680604882
2022-07-07,261.7601318359375,262.4038078774227,258.4637438186101,258.5612759029467,20859900,8.24795882236631
2022-07-08,261.0384826660156,261.46760008401816,256.77659490153445,258.23948707310194,19658800,8.050460567034701
2022-07-11,257.9664001464844,259.9364174424427,255.69402443760526,259.07818265604794,19455200,8.037597499927697
2022-07-12,247.39456176757812,259.36102351623987,245.80488089647312,259.3025102122522,35868500,8.02085880633806
2022-07-13,246.46807861328125,247.27754741494883,241.9721226645982,244.00066829745631,29497400,7.334302299966574
2022-07-14,247.79444885253906,248.82822368300143,239.8558206729032,244.37128627371013,25102800,6.735638443177762
2022-07-15,250.36911010742188,253.92880829772642,248.46735333614538,249.39384869842797,29774100,6.579689546360956
2022-07-18,247.96023559570312,254.38720528898997,247.03374014987685,253.3241738288452,20975000,5.897008092667299
2022-07-19,253.1095733642578,253.29487539912353,247.4042885956237,251.20780185384177,25012600,5.289177758557459
2022-07-20,255.7818145751953,258.317500345286,252.50495032778068,253.47044965735498,22788300,5.1408319516779954
2022-07-21,258.28826904296875,258.3370499787422,250.67147860899914,253.36321004972706,22404700,4.985959690049834
2022-07-22,253.9190216064453,258.76607153095557,252.66095593957778,258.6783015841471,21881300,4.9702276424207295
2022-07-25,252.42691040039062,255.03087159212205,250.45689296726155,254.5432408625004,21056000,4.713801037729195
2022-07-26,245.66836547851562,253.4509629497861,243.39601928294323,253.43143867174322,39348000,4.919976127794476
2022-07-27,262.09173583984375,263.3693258768842,252.44641619082233,254.69926761568703,45994000,5.246683074999731
